title,lyrics,image,contributors,translations,translation_count,verse,refrain,pre-chorus,chorus,post-chorus,bridge,outro,genius_popularity,album,release_date,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
seven,"
please picture me in the trees
i hit my peak at seven
feet in the swing over the creek
i was too scared to jump in
but i, i was high in the sky
with pennsylvania under me
are there still beautiful things?


sweet tea in the summer
cross your heart, won't tell no other
and though i can’t recall your face
i still got love for you
your braids like a pattern
love you to the moon and to saturn
passed down like folk songs
the love lasts so long

and i've been meaning to tell you
i think your house is haunted
your dad is always mad and that must be why
and i think you should come live with me
and we can be pirates
then you won't have to cry
or hide in the closet
and just like a folk song
our love will be passed on


please picture me in the weeds
before i learned civility
i used to scream ferociously
any time i wanted
i, i


sweet tea in the summer
cross my heart, won’t tell no other
and though i can't recall your face
i still got love for you
pack your dolls and a sweater
we'll move to india forever
passed down like folk songs
our love lasts so longyou might also like85embed",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,171,NederlandsTürkçeEspañolСрпскиРусскийPortuguêsفارسیМакедонскиMagyarDeutschFrançaisHrvatskiΕλληνικάItalianoPolskiУкраїнська,10.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,24.0,folklore,2020-08-18,7.0,0.888,0.602,0.494,2.59e-05,0.0902,-10.813,0.0277,94.955,0.374,67.0,208906.0
this is me trying,"
i've been having a hard time adjusting
i had the shiniest wheels, now they're rusting
i didn't know if you'd care if i came back
i have a lot of regrets about that
pulled the car off the road to the lookout
could've followed my fears all the way down
and maybe i don't quite know what to say
but i'm here in your doorway


i just wanted you to know that this is me trying
i just wanted you to know that this is me trying

they told me all of my cages were mental
so i got wasted like all my potential
and my words shoot to kill when i'm mad
i have a lot of regrets about that
i was so ahead of the curve, the curve became a sphere
fell behind all my classmates and i ended up here
pouring out my heart to a stranger
but i didn't pour the whiskey


i just wanted you to know that this is me trying
i just wanted you to know that this is me trying


at least i'm trying


and it's hard to be at a party when i feel like an open wound
it's hard to be anywhere these days when all i want is you
you're a flashback in a film reel on the one screen in my town


and i just wanted you to know that this is me trying
(and maybe i don't quite know what to say)
i just wanted you to know that this is me trying
you might also like
at least i'm trying78embed",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,138,NederlandsTürkçeEspañolСрпскиРусскийPortuguêsفارسیItalianoMagyarTaylor Swift - this is me trying (Deutsche Übersetzung)FrançaisTaylor Swift - this is me trying (Ελληνική μετάφραση/Greek Translation)SvenskaУкраїнська,15.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,25.0,folklore,2020-08-18,9.0,0.312,0.511,0.478,2.3e-05,0.147,-9.837,0.0322,135.882,0.408,68.0,195106.0
happiness,"
honey, when i'm above the trees
i see this for what it is
but now i'm right down in it, all the years i've given
is just shit we're dividin' up
showed you all of my hiding spots
i was dancing when the music stopped
and in the disbelief, i can't face reinvention
i haven't met the new me yet


there'll be happiness after you
but there was happiness because of you
both of these things can be true
there is happiness

past the blood and bruise
past the curses and cries
beyond the terror in the nightfall
haunted by the look in my eyes
that would've loved you for a lifetime
leave it all behind
and there is happiness


tell me, when did your winning smile
begin to look like a smirk?
when did all our lessons start to look like weapons
pointed at my deepest hurt?
i hope she'll be a beautiful fool
who takes my spot next to you
no, i didn't mean that
sorry, i can't see facts through all of my fury
you haven't met the new me yet


there'll be happiness after me
but there was happiness because of me
both of these things, i believe
there is happiness
you might also like
in our history, across our great divide
there is a glorious sunrise
dappled with the flickers of light
from the dress i wore at midnight, leave it all behind
and there is happiness


i can't make it go away by making you a villain
i guess it's the price i paid for seven years in heaven
and i pulled your body into mine
every goddamn night, now i get fake niceties
no one teaches you what to do
when a good man hurts you
and you know you hurt him too


honey, when i'm above the trees
i see it for what it is
but now my eyes leak acid rain on the pillow where you used to lay your head
after giving you the best i had
tell me what to give after that
all you want from me now is the green light of forgiveness
you haven't met the new me yet
and i think she'll give you that

there'll be happiness after you
but there was happiness because of you too
both of these things can be true
there is happiness


in our history, across our great divide
there is a glorious sunrise
dappled with the flickers of light
from the dress i wore at midnight, leave it all behind
oh, leave it all behind
leave it all behind
and there is happiness49embed",https://images.genius.com/3e354c719fe236ab4a75adc6ea4c7fca.300x300x1.png,156,TürkçeEspañolRomânăPortuguêsItalianoDeutschFrançaisHrvatskiMagyarPolskiУкраїнська,10.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,26.0,evermore,2021-01-07,7.0,0.87,0.559,0.334,0.0,0.114,-10.733,0.0376,122.079,0.211,65.0,315146.0
call it what you want,"
my castle crumbled overnight
i brought a knife to a gunfight
they took the crown, but it's alright
all the liars are calling me one
nobody's heard from me for months
i'm doin' better than i ever was
'cause


my baby's fit like a daydream
walkin' with his head down
i'm the one he's walking to
so call it what you want, yeah
call it what you want to
my baby's fly like a jet stream
high above the whole scene
loves me like i'm brand new
so call it what you want, yeah
call it what you want to

all my flowers grew back as thorns
windows boarded up after the storm
he built a fire just to keep me warm
all the drama queens taking swings
all the jokers dressing up as kings
they fade to nothing when i look at him
and i know i make the same mistakes every time
bridges burn, i never learn
at least i did one thing right
i did one thing right
i'm laughing with my lover, makin' forts under covers
trust him like a brother
yeah, you know i did one thing right
starry eyes sparkin' up my darkest night


my baby's fit like a daydream
walkin' with his head down
i'm the one he's walking to
so call it what you want, yeah
call it what you want to
my baby's fly like a jet stream
high above the whole scene
loves me like i'm brand new
(call it what you want, call it what you want, call it)
so call it what you want, yeah
call it what you want to
you might also like
i want to wear his initial on a chain 'round my neck
chain 'round my neck
not because he owns me
but 'cause he really knows me
which is more than they can say, i
i recall late november
holding my breath, slowly, i said
""you don't need to save me
but would you run away with me?""
yes (would you run away?)


my baby's fit like a daydream
walkin' with his head down
i'm the one he's walking to
(call it what you want, call it what you want, call it)
so call it what you want, yeah (call it what you want it to)
call it what you want to
my baby's fly like a jet stream (oh)
high above the whole scene
loves me like i'm brand new
(call it what you want, call it what you want, call it)
so call it what you want, yeah
call it what you want to

(call it what you want, call it)
(call it what you want, call it what you want, call it)
(call it what you want, call it what you want, call it)
(call it what you want, call it what you want, call it)
(call it what you want, call it what you want, call it)
(call it what you want, call it what you want, call it)
(call it what you want, call it what you want, call it)
call it what you want, yeah
call it what you want to101embed",https://images.genius.com/01c5bf888fa73a6b25fb2dee1b4035ff.300x300x1.png,130,FrançaisTürkçeEspañolPortuguêsItalianoDeutsch,6.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,28.0,reputation,2017-11-10,14.0,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,0.252,76.0,203506.0
delicate,"
this ain't for the best
my reputation's never been worse, so
you must like me for me
we can't make
any promises now, can we, babe?
but you can make me a drink

dive bar on the east side, where you at?
phone lights up my nightstand in the black
come here, you can meet me in the back
dark jeans and your nikes, look at you
oh, damn, never seen that color blue
just think of the fun things we could do

('cause i like you) this ain't for the best
my reputation's never been worse, so
you must like me for me
(yeah, i want you) we can't make
any promises now, can we, babe?
but you can make me a drink


is it cool that i said all that?
is it chill that you're in my head?
'cause i know that it's delicate (delicate)
is it cool that i said all that?
is it too soon to do this yet?
'cause i know that it's delicate


isn't it? isn't it? isn't it?
isn't it?
isn't it? isn't it? isn't it?
isn't it delicate?


third floor on the west side, me and you
handsome, you're a mansion with a view
do the girls back home touch you like i do?
long night with your hands up in my hair
echoes of your footsteps on the stairs
stay here, honey, i don't wanna share
you might also like
('cause i like you) this ain't for the best
my reputation's never been worse, so
you must like me for me
(yeah, i want you) we can't make
any promises now, can we, babe?
but you can make me a drink


is it cool that i said all that?
is it chill that you're in my head?
'cause i know that it's delicate (delicate)
is it cool that i said all that?
is it too soon to do this yet?
'cause i know that it's delicate


isn't it? isn't it? isn't it?
isn't it?
isn't it? isn't it? isn't it?
isn't it delicate?


sometimes, i wonder, when you sleep
are you ever dreaming of me?
sometimes, when i look into your eyes
i pretend you're mine, all the damn time

('cause i like you)
is it cool that i said all that?
is it chill that you're in my head?
'cause i know that it's delicate (delicate)
(yeah, i want you)
is it cool that i said all that?
is it too soon to do this yet?
'cause i know that it's delicate (delicate)
('cause i like you)
is it cool that i said all that? (isn't it?)
is it chill that you're in my head? (isn't it? isn't it?)
'cause i know that it's delicate (isn't it delicate?)
(yeah, i want you)
is it cool that i said all that? (isn't it?)
is it too soon to do this yet? (isn't it? isn't it?)
'cause i know that it's delicate
isn't it delicate?111embed",https://images.genius.com/01c5bf888fa73a6b25fb2dee1b4035ff.300x300x1.png,146,FrançaisTürkçeEspañolPortuguêsItalianoDeutsch,6.0,2.0,0.0,2.0,3.0,2.0,1.0,0.0,29.0,reputation,2017-11-10,5.0,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,0.0499,81.0,232253.0
illicit affairs,"
make sure nobody sees you leave
hood over your head, keep your eyes down
tell your friends you're out for a run
you’ll be flushed when you return
take the road less traveled by
tell yourself you can always stop
what started in beautiful rooms
ends with meetings in parking lots


and that's the thing about illicit affairs
and clandestine meetings and longing stares
it's born from just one single glance
but it dies and it dies and it dies
a million little times

leave the perfume on the shelf
that you picked out just for him
so you leave no trace behind
like you don’t even exist
take the words for what they are
a dwindling, mercurial high
a drug that only worked
the first few hundred times


and that's the thing about illicit affairs
and clandestine meetings and stolen stares
they show their truth one single time
but they lie and they lie and they lie
a million little times


and you wanna scream
don't call me ""kid,"" don't call me ""baby""
look at this godforsaken mess that you made me
you showed me colors you know i can't see with anyone else
don't call me ""kid,"" don't call me ""baby""
look at this idiotic fool that you made me
you taught me a secret language i can't speak with anyone else
you might also like
and you know damn well
for you, i would ruin myself
a million little times89embed",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,131,TürkçeEspañolСрпскиРусскийPortuguêsفارسیItalianoMagyarDeutschFrançaisΕλληνικάУкраїнська,7.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,30.0,folklore,2020-08-18,10.0,0.862,0.529,0.304,0.0,0.108,-10.567,0.0356,119.58,0.44,67.0,190893.0
tolerate it,"
i sit and watch you reading with your head low
i wake and watch you breathing with your eyes closed
i sit and watch you
i notice everything you do or don't do
you're so much older and wiser, and i


i wait by the door like i'm just a kid
use my best colors for your portrait
lay the table with the fancy shit
and watch you tolerate it
if it's all in my head, tell me now
tell me i've got it wrong somehow
i know my love should be celebrated
but you tolerate it

i greet you with a battle hero's welcome
i take your indiscretions all in good fun
i sit and listеn, i polish plates until they gleam and glistеn
you're so much older and wiser and i


i wait by the door like i'm just a kid
use my best colors for your portrait
lay the table with the fancy shit
and watch you tolerate it
if it's all in my head, tell me now
tell me i've got it wrong somehow
i know my love should be celebrated
but you tolerate it


while you were out building other worlds, where was i?
where's that man who'd throw blankets over my barbed wire?
i made you my temple, my mural, my sky
now i'm begging for footnotes in the story of your life
drawing hearts in the byline
always taking up too much space or time
you assume i'm fine, but what would you do if i


break free and leave us in ruins
took this dagger in me and removed it
gain the weight of you, then lose it
believe me, i could do it
if it's all in my head, tell me now
tell me i've got it wrong somehow
i know my love should be celebrated
but you tolerate it
you might also like
i sit and watch you80embed",https://images.genius.com/3e354c719fe236ab4a75adc6ea4c7fca.300x300x1.png,164,TürkçeEspañolRomânăPortuguêsItalianoDeutschFrançaisСрпскиPolskiMagyarУкраїнська,9.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,31.0,evermore,2021-01-07,5.0,0.878,0.316,0.361,2.67e-05,0.0797,-10.381,0.0488,74.952,0.221,68.0,245440.0
love story,"
we were both young when i first saw you
i close my eyes, and the flashback starts
i'm standing there
on a balcony in summer air
see the lights, see the party, the ball gowns
see you make your way through the crowd
and say, ""hello""
little did i know


that you were romeo, you were throwing pebbles
and my daddy said, ""stay away from juliet""
and i was crying on the staircase
begging you, ""please, don't go,"" and i said

romeo, take me somewhere we can be alone
i'll be waiting, all there's left to do is run
you'll be the prince and i'll be the princess
it's a love story, baby, just say ""yes""


so i sneak out to the garden to see you
we keep quiet, 'cause we're dead if they knew
so close your eyes
escape this town for a little while, oh, oh


'cause you were romeo, i was a scarlet letter
and my daddy said, ""stay away from juliet""
but you were everything to me
i was begging you, ""please, don't go,"" and i said


romeo, take me somewhere we can be alone
i'll be waiting, all there's left to do is run
you'll be the prince and i'll be the princess
it's a love story, baby, just say ""yes""
romeo, save me, they're trying to tell me how to feel
this love is difficult, but it's real
don't be afraid, we'll make it out of this mess
it's a love story, baby, just say ""yes""
you might also like
oh, oh


i got tired of waiting
wondering if you were ever coming around
my faith in you was fading
when i met you on the outskirts of town


and i said, ""romeo, save me, i've been feeling so alone
i keep waiting for you but you never come
is this in my head? i don't know what to think""
he knelt to the ground and pulled out a ring, and said


""marry me, juliet, you'll never have to be alone
i love you, and that's all i really know
i talked to your dad, go pick out a white dress
it's a love story, baby, just say 'yes'""


oh, oh, oh
oh, oh, oh
'cause we were both young when i first saw you177embed",https://images.genius.com/c8b4619c8f69a4660a99f5ee3a904989.300x300x1.jpg,142,EspañolPortuguêsDeutsch,3.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,32.0,fearless,2021-04-09,3.0,0.13,0.627,0.792,3.97e-06,0.0845,-4.311,0.031,119.054,0.415,77.0,235766.0
question...?,"
i remember


good girl, sad boy
big city, wrong choices
we had one thing goin' on
i swear that it was somethin'
'cause i don't remember who i was
before you painted all my nights
a color i've searched for since
but one thing after another
fuckin' situations, circumstances
miscommunications, and i
have to say, by the way
i just may like some explanations

can i ask you a question?
did you ever have someone kiss you in a crowded room
and every single one of your friends was makin' fun of you
but fifteen seconds later, thеy were clappin' too?
then what did you do?
did you lеave her house in the middle of the night? oh
did you wish you'd put up more of a fight, oh
when she said it was too much?
do you wish you could still touch her?
it's just a question


half-moon eyes, bad surprise
did you realize out of time?
she was on your mind with some dickhead guy
that you saw that night
but you were on somethin'
it was one drink after another
fuckin' politics and gender roles
and you're not sure and i don't know
got swept away in the gray
i just may like to have a conversation


can i ask you a question?
did you ever have someone kiss you in a crowded room
and every single one of your friends was makin' fun of you
but fifteen seconds later, they were clappin' too?
then what did you do?
did you leave her house in the middle of the night? oh
did you wish you'd put up more of a fight, oh
when she said it was too much?
do you wish you could still touch her?
it's just a question
you might also like
does it feel like everything's just like
second best after that meteor strike?
and what's that that i heard? that you're still with her?
that's nice, i'm sure that's what's suitable
and right, but tonight


can i ask you a question? (can i ask you a question?)
did you ever have someone kiss you in a crowded room (in a crowded room)
and every single one of your friends was makin' fun of you (makin' fun of you)
but fifteen seconds later, they were clappin' too?
then what did you do? (do)
did you leave her house in the middle of the night? oh
did you wish you'd put up more of a fight, oh (more of a fight)
when she said it was too much?
do you wish you could still touch her?
it's just a question21embed",https://images.genius.com/e1600c81af0d51501ad1b9f80ac3b59c.300x300x1.jpg,70,EspañolPortuguêsTürkçeFrançais中文СрпскиItalianoMagyarNederlandsPolskiSvenskaУкраїнська,9.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,33.0,midnights,2022-10-22,7.0,0.226,0.751,0.502,0.0,0.297,-8.777,0.162,108.989,0.112,73.0,210556.0
snow on the beach,"
one night, a few moons ago
i saw flecks of what could've been lights
but it might just have been you
passing by unbeknownst to me
life is emotionally abusive
and time can't stop me quite like you did
and my flight was awful, thanks for asking
i'm unglued, thanks to you


and it's like snow at the beach
weird, but fuckin' beautiful
flying in a dream
stars by the pocketful
you wanting me
tonight feels impossible
but it's comin' down
no sound, it's all around

like snow on the beach
like snow on the beach
like snow on the beach
like snow, ah


this scene feels like what i once saw on a screen
i searched ""aurora borealis green""
i've never seen someone lit from within
blurring out my periphery
my smile is like i won a contest
and to hide that would be so dishonest
and it's fine to fake it 'til you make it
'til you do, 'til it's true


now it's like snow at the beach
weird, but fuckin' beautiful
flying in a dream
stars by the pocketful
you wanting me
tonight feels impossible
but it's comin' down
no sound, it's all around
you might also like
like snow on the beach
like snow on the beach
like snow on the beach
like snow, ah


i (i) can't (can't) speak, afraid to jinx it
i (i) don't (don't) even dare to wish it
but your eyes are flying saucers from another planet
now i'm all for you like janet
can this be a real thing? can it?


are we falling like snow at the beach? (snow at the beach)
weird, but fuckin' beautiful
flying in a dream (flying in a dream)
stars by the pocketful
you wanting me (you wanting me)
tonight feels impossible
but it's comin' down
no sound, it's all around


like snow on the beach (snow on the beach)
like snow on the beach (flying in a dream)
like snow on the beach (you wanting me)
like snow, ah
but it's comin' down
no sound, it's all around

like snow on the beach
(it's comin' down, it's comin' down)
(it's comin' down, it's comin' down)
like snow on the beach
(it's comin' down, it's comin' down)
(it's comin' down, it's comin' down)
(it's comin' down, it's comin' down)
(it's comin' down, it's comin' down)
(it's comin' down, it's comin' down)
(it's comin' down, it's comin' down)33embed",https://images.genius.com/395eb4a5e6aa04c8574425345cd816f5.300x300x1.png,126,PortuguêsEspañol中文Magyarไทย / Phasa ThaiItalianoHrvatskiFrançaisTürkçeDeutschNederlandsSvenskaУкраїнська,12.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,34.0,midnights,2022-10-22,4.0,0.735,0.659,0.323,0.00321,0.116,-13.425,0.0436,110.007,0.154,74.0,256124.0
bad blood,"
'cause, baby, now we've got bad blood
you know it used to be mad love (uh)
so take a look what you've done (uh)
‘cause, baby, now we've got bad blood (uh), hey! (hey!)

i can't take it back, look where i'm at (uh)
we was og like d.o.c., remember that? (remember that?)
my tlc was quite od, id my facts (id my)
now pov of you and me, similar iraq
i don't hate you, but i hate to critique, overrate you
these beats of a dark heart, use basslines to replace you
take time and erase you, love don't hear no more
no, i don't fear no more
better yet, respect ain't quite sincere no more, ah!

oh, it's so sad to
think about the good times
you and i


'cause, baby, now we've got bad blood
you know it used to be mad love
so take a look what you've done
'cause, baby, now we've got bad blood, hey!
now we've got problems
and i don't think we can solve 'em (uh)
you made a really deep cut (uh)
and, baby, now we've got bad blood, hey! (hey!)

remember when you tried to write me off? (uh-huh)
remember when you thought i'd take a loss?
don't you remember? you thought that i would need ya
follow procedure, remember? oh, wait, you got amnesia
it was my season for battle wounds
battle scars, body bumped, bruised
stabbed in the back; brimstone, fire jumping through
still, all my life, i got money and power
and you gotta live with the bad blood now
you might also like
oh, it's so sad to
think about the good times
you and i


'cause, baby, now we've got bad blood
you know it used to be mad love
so take a look what you've done
'cause, baby, now we've got bad blood, hey!
now we've got problems
and i don't think we can solve 'em
you made a really deep cut
and, baby, now we've got bad blood, hey!


band-aids don't fix bullet holes
you say sorry just for show
if you live like that, you live with ghosts
you forgive, you forget, but you never let it go
band-aids don't fix bullet holes
you say sorry just for show
if you live like that, you live with ghosts (uh, uh)
if you love like that, blood runs cold


'cause, baby, now we've got bad blood
you know it used to be mad love
so take a look what you've done
'cause, baby, now we've got bad blood, hey! (bad blood)
now we've got problems
and i don't think we can solve 'em (think we can solve 'em)
you made a really deep cut
and, baby, now we've got bad blood, hey!
'cause, baby, now we've got bad blood
you know it used to be mad love
so take a look what you've done (look what you've done)
'cause, baby, now we've got bad blood, hey!
now we've got problems
and i don't think we can solve 'em
you made a really deep cut
and, baby, now we've got bad blood, hey!620embed",https://images.genius.com/4134df3e83bf9e082397ab70e5eef40b.300x300x1.png,133,EspañolPortuguêsFrançais,3.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,35.0,1989,2014-10-27,8.0,0.0871,0.65,0.802,6.54e-06,0.148,-6.114,0.181,170.146,0.295,71.0,211933.0
ivy,"
how's one to know?
i'd meet you where the spirit meets the bones
in a faith-forgotten land
in from the snow
your touch brought forth an incandescent glow
tarnished but so grand


and the old widow goes to the stone every day
but i don't, i just sit here and wait
grieving for the living

oh, goddamn
my pain fits in the palm of your freezing hand
taking mine, but it's been promised to another
oh, i can't
stop you putting roots in my dreamland
my house of stone, your ivy grows
and now i'm covered in you


i wish to know
the fatal flaw that makes you long to be
magnificently cursed
he's in the room
your opal eyes are all i wish to see
he wants what's only yours


oh, goddamn
my pain fits in the palm of your freezing hand
taking mine, but it's been promised to another
oh, i can't
stop you putting roots in my dreamland
my house of stone, your ivy grows
and now i'm covered
you might also like
clover blooms in the fields
spring breaks loose, the time is near
what would he do if he found us out?
crescent moon, coast is clear
spring breaks loose, but so does fear
he's gonna burn this house to the ground
how's one to know?
i'd live and die for moments that we stole
on begged and borrowed time
so tell me to run
or dare to sit and watch what we'll become
and drink my husband's wine


oh, goddamn
my pain fits in the palm of your freezing hand
taking mine, but it's been promised to another
oh, i can't
stop you putting roots in my dreamland
my house of stone, your ivy grows
and now i'm covered in you
and i'm covered in you


so yeah, it's a fire
it's a goddamn blaze in the dark
and you started it
you started it
so yeah, it's a war
it's the goddamn fight of my life
and you started it
you started it

oh, i can't
stop you putting roots in my dreamland
my house of stone, your ivy grows
and now i'm covered
in you, in you
now i'm covered in you
in you51embed",https://images.genius.com/3e354c719fe236ab4a75adc6ea4c7fca.300x300x1.png,161,TürkçeEspañolRomânăPortuguêsItalianoDeutschFrançaisPolskiСрпскиMagyarTagalog / ᜆᜄᜎᜓᜄ᜔Українська,10.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,36.0,evermore,2021-01-07,10.0,0.855,0.515,0.545,1.97e-05,0.0921,-9.277,0.0353,88.856,0.535,65.0,260440.0
mirrorball,"
i want you to know
i'm a mirrorball
i'll show you every version of yourself tonight
i'll get you out on the floor
shimmering beautiful
and when i break, it's in a million pieces


hush, when no one is around, my dear
you'll find me on my tallest tiptoes
spinning in my highest heels, love
shining just for you
hush, i know they said the end is near
but i'm still on my tallest tiptoes
spinning in my highest heels, love
shining just for you

i want you to know
i'm a mirrorball
i can change everything about me to fit in
you are not like the regulars
the masquerade revelers
drunk as they watch my shattered edges glisten


hush, when no one is around, my dear
you'll find me on my tallest tiptoes
spinning in my highest heels, love
shining just for you
hush, i know they said the end is near
but i'm still on my tallest tiptoes
spinning in my highest heels, love
shining just for you


and they called off the circus, burned the disco down
when they sent home the horses and the rodeo clowns
i'm still on that tightrope
i'm still trying everything to get you laughing at me
and i'm still a believer, but i don't know why
i've never been a natural, all i do is try, try, try
i'm still on that trapeze
i'm still trying everything to keep you looking at me
you might also like
because i'm a mirrorball
i'm a mirrorball
and i'll show you every version of yourself tonight63embed",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,163,NederlandsTürkçeEspañolСрпскиРусскийPortuguêsفارسیItalianoMagyarDeutschFrançaisHrvatskiTaylor Swift - mirrorball (Ελληνική μετάφραση/Greek Translation)Українська,13.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,37.0,folklore,2020-08-18,6.0,0.686,0.549,0.417,1.9e-06,0.0604,-10.064,0.035,110.137,0.347,68.0,208973.0
evermore,"
gray november
i've been down since july
motion capture
put me in a bad light
i replay my footsteps on each stepping stone
trying to find the one where i went wrong
writing letters
addressed to the fire


and i was catching my breath
staring out an open window
catching my death
and i couldn't be sure
i had a feeling so peculiar
that this pain would be for
evermore

hey december
guess i'm feeling unmoored
can't remember
what i used to fight for
i rewind thе tape, but all it does is pause
on thе very moment all was lost
sending signals
to be double-crossed


and i was catching my breath
barefoot in the wildest winter
catching my death
and i couldn't be sure
i had a feeling so peculiar
that this pain would be for
evermore
(evermore)

can't not think of all the cost
and the things that will be lost
oh, can we just get a pause?
to be certain, we'll be tall again
whether weather be the frost
or the violence of the dog days
i'm on waves, out being tossed
is there a line that i could just go cross?
and when i was shipwrecked (can't think of all the cost now)
i thought of you (all the things that will be lost now)
in the cracks of light (can we just get a pause?)
i dreamed of you (to be certain we'll be tall again)
(if you think of all the costs)
it was real enough (whether weather be the frost)
to get me through (or the violence of the dog days)
(or the violence of the dog days)
(out on waves, being tossed)
(i'm on waves, out being tossed)
but i swear (is there a line that we can just go cross?)
you were there
you might also like
and i was catching my breath
floors of a cabin creaking under my step
and i couldn't be sure
i had a feeling so peculiar
this pain wouldn't be for
evermore
evermore
evermore
this pain wouldn't be for evermore
evermore53embed",https://images.genius.com/3e354c719fe236ab4a75adc6ea4c7fca.300x300x1.png,125,EspañolPortuguêsItalianoDeutschFrançaisTürkçeСрпски中文MagyarPolskiУкраїнська,8.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,38.0,evermore,2021-01-07,15.0,0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,0.32,65.0,304106.0
peace,"
our coming-of-age has come and gone
suddenly this summer, it's clear
i never had the courage of my convictions
as long as danger is near
and it's just around the corner, darlin'
'cause it lives in me
no, i could never give you peace


but i'm a fire and i'll keep your brittle heart warm
if your cascade, ocean wave blues come
all these people think love's for show
but i would die for you in secret
the devil's in the details, but you got a friend in me
would it be enough if i could never give you peace?

your integrity makes me seem small
you paint dreamscapes on the wall
i talk shit with my friends, it's like i'm wasting your honor
and you know that i'd swing with you for the fences
sit with you in the trenches
give you my wild, give you a child
give you the silence that only comes when two people understand each other
family that i chose, now that i see your brother as my brother
is it enough?
but there's robbers to the east, clowns to the west
i'd give you my sunshine, give you my best
but the rain is always gonna come if you're standin' with me


but i'm a fire and i'll keep your brittle heart warm
if your cascade, ocean wave blues come
all these people think love's for show
but i would die for you in secret
the devil's in the details, but you got a friend in me
would it be enough if i could never give you peace?
would it be enough if i could never give you peace?
would it be enough if i could never give you peace?you might also like58embed",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,125,فارسیTürkçeEspañolСрпскиРусскийPortuguêsItalianoMagyarTaylor Swift - peace (Deutsche Übersetzung)Taylor Swift - peace (Ελληνική μετάφραση/Greek Translation)FrançaisУкраїнська,13.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,folklore,2020-08-18,15.0,0.916,0.644,0.284,1.5e-05,0.0909,-12.879,0.0821,150.072,0.328,64.0,234000.0
gorgeous,"
gorgeous


you should take it as a compliment
that i got drunk and made fun of the way you talk
you should think about the consequence
of your magnetic field being a little too strong
and i got a boyfriend, he's older than us
he's in the club doin' i don't know what
you're so cool, it makes me hate you so much (i hate you so much)

whisky on ice, sunset and vine
you've ruined my life by not being mine


you're so gorgeous
i can't say anything to your face
'cause look at your face (gorgeous)
and i'm so furious
at you for making me feel this way
but what can i say?
you're gorgeous


you should take it as a compliment
that i'm talking to everyone here but you (but you, but you)
and you should think about the consequence
of you touching my hand in a darkened room (dark room, dark room)
if you've got a girlfriend, i'm jealous of her
but if you're single that's honestly worse
'cause you're so gorgeous it actually hurts (honey, it hurts)


ocean blue eyes looking in mine
i feel like i might sink and drown and die
you might also like
you're so gorgeous
i can't say anything to your face (to your face)
'cause look at your face (look at your face, gorgeous)
and i'm so furious
at you for making me feel this way (feel this way)
but what can i say?
you're gorgeous


you make me so happy it turns back to sad
there's nothing i hate more than what i can't have
and you are so gorgeous it makes me so mad (mmh)
you make me so happy it turns back to sad (yeah)
there's nothing i hate more than what i can't have and
guess i'll just stumble on home to my cats (yeugh) alone
unless, you wanna come along? (oh)


you're so gorgeous
i can't say anything to your face (to your face)
'cause look at your face (look at your face, gorgeous)
and i'm so furious (i'm so furious)
at you for making me feel this way (feel this way)
but what can i say? (i say)
you're gorgeous

you make me so happy it turns back to sad (yeah)
there's nothing i hate more than what i can't have
and you are so gorgeous it makes me so mad (mmh)
you're gorgeous
you make me so happy it turns back to sad (it turns back to sad)
there's nothing i hate more than what i can't have (what i can't have)
you are so gorgeous it makes me so mad (mmh)
you're gorgeous89embed",https://images.genius.com/01c5bf888fa73a6b25fb2dee1b4035ff.300x300x1.png,130,FrançaisEspañolBosanskiPortuguêsItalianoDeutsch,6.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,41.0,reputation,2017-11-10,8.0,0.0713,0.8,0.535,9.48e-06,0.213,-6.684,0.135,92.027,0.451,79.0,209680.0
